PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
35452;35452;35452;;;;;;;;;
78592;78592;78592;;;;;;;;;
71522;71522;71522;;;;;;;;;
71522;71522;71522;;;;;;;;;
71522;71522;71522;;;;;;;;;
Adelsdorf;Keine Angabe;;;;;;;;;;
35452;35452;35452;;;;;;;;;
35390;35390;35390;;;;;;;;;
64295;64295;64295;;;;;;;;;
91217;91217;91217;;;;;;;;;
90409;90409;90409;;;;;;;;;
Nürnberg;90402;90402;;;;;;;;;
Essen;45127;45127;;;;;;;;;
Feuchtwangen;Keine Angabe;;;;;;;;;;
91154;91154;91154;;;;;;;;;
90403;90403;90403;;;;;;;;;
64646;64646;64646;;;;;;;;;
35088;35088;35088;;;;;;;;;
71394;71394;71394;;;;;;;;;
34128;34128;34128;;;;;;;;;
60322;60322;60322;;;;;;;;;
85057;85057;85057;;;;;;;;;
Adelsdorf;Keine Angabe;;;;;;;;;;
90449;90449;90449;;;;;;;;;
Hartenstein;Keine Angabe;;;;;;;;;;
97993;97993;97993;;;;;;;;;
Olching;Keine Angabe;;;;;;;;;;
90762;90762;90762;;;;;;;;;
90556;90556;90556;;;;;;;;;
Essen;45127;45127;;;;;;;;;
90461;90461;90461;;;;;;;;;
90425;90425;90425;;;;;;;;;
60325;60325;60325;;;;;;;;;
56564;56564;56564;;;;;;;;;
64646;64646;64646;;;;;;;;;
90409;90409;90409;;;;;;;;;
63225;63225;63225;;;;;;;;;
60528;60528;60528;;;;;;;;;
33106;33106;33106;;;;;;;;;
78333;78333;78333;;;;;;;;;
78592;78592;78592;;;;;;;;;
Hanau;Keine Angabe;;;;;;;;;;
63457;63457;63457;;;;;;;;;
64546;64546;64546;;;;;;;;;
20357;20357;20357;;;;;;;;;
71642;71642;71642;;;;;;;;;
74081;74081;74081;;;;;;;;;
64646;64646;64646;;;;;;;;;
64646;64646;64646;;;;;;;;;
07743;Keine Angabe;;;;;;;;;;
78592;78592;78592;;;;;;;;;
90409;90409;90409;;;;;;;;;
16761;16761;16761;;;;;;;;;
77933;77933;77933;;;;;;;;;
